resourceId;rs;difficulty_rank;question;explanation;errorRate;responseTime;answers
1153;707;2;"[[""latex"",""\\begin{array}{ccccc} & 1& 1& 1& 1\\\\ - & & 2& 2& 2\\\\ \\end{array}""],[""input"",{""answer"":[""889""],""style"":""separate""}]]";;0.42;39900;368
1154;707;2;"[[""latex"",""\\begin{array}{cccc} & 3& 0& 5\\\\ - & & 3& 5\\\\ \\end{array}""],[""input"",{""answer"":[""270""],""style"":""separate""}]]";;0.29;19384;394
1155;707;2;"[[""latex"",""\\begin{array}{ccccc} & 1& 9& 4& 5\\\\ - & 1& 6& 2& 0\\\\ \\end{array}""],[""input"",{""answer"":[""325""],""style"":""separate""}]]";;0.2;27100;354
1156;707;2;"[[""latex"",""\\begin{array}{ccccc} & 1& 2& 3& 4\\\\ - & & 5& 6& 7\\\\ \\end{array}""],[""input"",{""answer"":[""667""],""style"":""separate""}]]";;0.37;46738;372
1157;707;2;"[[""latex"",""\\begin{array}{ccccc} & 9& 8& 5& 3\\\\ - & 3& 4& 5& 5\\\\ \\end{array}""],[""input"",{""answer"":[""6398""],""style"":""separate""}]]";;0.42;53450;364
1158;707;1;"[[""latex"",""\\begin{array}{cccc} & 9& 9& 9\\\\ - & 4& 4& 4\\\\ \\end{array}""],[""input"",{""answer"":[""555""],""style"":""separate""}]]";;0.12;12731;519
1159;707;2;"[[""latex"",""\\begin{array}{ccccc} & 2& 8& 6& 5\\\\ - & 2& 8& 2& 5\\\\ \\end{array}""],[""input"",{""answer"":[""40""],""style"":""separate""}]]";;0.2;25050;367
1160;707;2;"[[""latex"",""\\begin{array}{ccccc} & 1& 0& 0& 0\\\\ - & & 9& 8& 7\\\\ \\end{array}""],[""input"",{""answer"":[""13""],""style"":""separate""}]]";;0.34;29350;356
1161;707;2;"[[""latex"",""\\begin{array}{ccccc} & 5& 7& 0& 2\\\\ - & 3& 0& 0& 0\\\\ \\end{array}""],[""input"",{""answer"":[""2702""],""style"":""separate""}]]";;0.23;22527;358
1162;707;2;"[[""latex"",""\\begin{array}{ccccc} & 5& 7& 0& 3\\\\ - & 3& 7& 3& 8\\\\ \\end{array}""],[""input"",{""answer"":[""1965""],""style"":""separate""}]]";;0.44;51200;361
1163;707;1;"[[""latex"",""\\begin{array}{cccc} & 2& 3& 2\\\\ - & 1& 3& 1\\\\ \\end{array}""],[""input"",{""answer"":[""101""],""style"":""separate""}]]";;0.13;16325;424
1164;707;2;"[[""latex"",""\\begin{array}{cccc} & 5& 0& 5\\\\ - & 4& 9& 4\\\\ \\end{array}""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.32;20525;361
1165;707;2;"[[""latex"",""\\begin{array}{ccccc} & 4& 0& 3& 5\\\\ - & 1& 2& 1& 3\\\\ \\end{array}""],[""input"",{""answer"":[""2822""],""style"":""separate""}]]";;0.36;32750;346
1166;707;2;"[[""latex"",""\\begin{array}{ccccc} & 1& 9& 1& 9\\\\ - & & 8& 7& 8\\\\ \\end{array}""],[""input"",{""answer"":[""1041""],""style"":""separate""}]]";;0.35;33761;335
1167;707;2;"[[""latex"",""\\begin{array}{ccccc} & 1& 0& 0& 5\\\\ - & & 8& 0& 3\\\\ \\end{array}""],[""input"",{""answer"":[""202""],""style"":""separate""}]]";;0.25;23400;336
1168;707;1;"[[""latex"",""\\begin{array}{ccccc} & 3& 4& 5& 6\\\\ - & 1& 2& 3& 4\\\\ \\end{array}""],[""input"",{""answer"":[""2222""],""style"":""separate""}]]";;0.12;25825;395
1169;707;2;"[[""latex"",""\\begin{array}{ccccc} & 7& 4& 4& 3\\\\ - & & 3& 2& 3\\\\ \\end{array}""],[""input"",{""answer"":[""7120""],""style"":""separate""}]]";;0.21;23850;360
1170;707;1;"[[""latex"",""\\begin{array}{cccc} & 2& 9& 2\\\\ - & 1& 2& 1\\\\ \\end{array}""],[""input"",{""answer"":[""171""],""style"":""separate""}]]";;0.15;22500;409
1171;707;2;"[[""latex"",""\\begin{array}{cccc} & 6& 1& 6\\\\ - & 5& 4& 3\\\\ \\end{array}""],[""input"",{""answer"":[""73""],""style"":""separate""}]]";;0.27;30632;350
1172;707;2;"[[""latex"",""\\begin{array}{cccc} & 7& 7& 7\\\\ - & & 8& 8\\\\ \\end{array}""],[""input"",{""answer"":[""689""],""style"":""separate""}]]";;0.37;40325;360
1173;707;2;"[[""latex"",""\\begin{array}{ccccc} & 9& 0& 9& 0\\\\ - & & 8& 0& 8\\\\ \\end{array}""],[""input"",{""answer"":[""8282""],""style"":""separate""}]]";;0.4;34975;377
1174;707;2;"[[""latex"",""\\begin{array}{ccccc} & 2& 2& 2& 2\\\\ - & & 3& 0& 3\\\\ \\end{array}""],[""input"",{""answer"":[""1919""],""style"":""separate""}]]";;0.34;36220;391
1175;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",2716],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.12;5050;1116
1176;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",1298],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.08;6550;948
1177;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",2713],[""input"",{""answer"":[""36""],""style"":""separate""}]]";;0.17;13550;960
1178;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",1008],[""input"",{""answer"":[""18""],""style"":""separate""}]]";;0.11;10500;952
1179;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",2179],[""input"",{""answer"":[""24""],""style"":""separate""}]]";;0.12;11938;970
1180;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",1134],[""input"",{""answer"":[""29""],""style"":""separate""}]]";;0.24;18625;952
1181;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",2013],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.11;6650;959
1182;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",3406],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.1;7700;933
1183;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",2509],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.1;7950;904
1184;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",1019],[""input"",{""answer"":[""27""],""style"":""separate""}]]";;0.19;16350;972
1185;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",2440],[""input"",{""answer"":[""35""],""style"":""separate""}]]";;0.24;19032;940
1186;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",863],[""input"",{""answer"":[""21""],""style"":""separate""}]]";;0.18;14575;958
1187;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",3322],[""input"",{""answer"":[""32""],""style"":""separate""}]]";;0.24;18947;910
1188;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",1143],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.28;10545;943
1189;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",2656],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.19;6750;956
1190;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",3128],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.25;11200;885
1191;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",595],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.27;11450;937
1192;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",1054],[""input"",{""answer"":[""18""],""style"":""separate""}]]";;0.49;25300;928
1193;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",772],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.19;8167;926
1194;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",3289],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.16;8150;909
1195;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",569],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.19;4650;911
1196;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",2271],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.15;3900;948
1197;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",1969],[""input"",{""answer"":[""16""],""style"":""separate""}]]";;0.28;15475;942
1198;751;1;"[[""text"",""Jaký je obsah vyznačeného útvaru?""],[""img"",1709],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.22;9200;930
1199;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",2661],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.3;13125;1009
1200;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",3019],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.24;9350;928
1201;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",2320],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.27;10850;904
1202;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",2343],[""input"",{""answer"":[""20""],""style"":""separate""}]]";;0.31;18419;910
1203;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",1504],[""input"",{""answer"":[""22""],""style"":""separate""}]]";;0.5;23800;894
1204;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",365],[""input"",{""answer"":[""24""],""style"":""separate""}]]";;0.31;16150;907
1205;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",3468],[""input"",{""answer"":[""18""],""style"":""separate""}]]";;0.19;15750;904
1206;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",1371],[""input"",{""answer"":[""16""],""style"":""separate""}]]";;0.43;17000;930
1207;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",1468],[""input"",{""answer"":[""16""],""style"":""separate""}]]";;0.39;15394;897
1208;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",1287],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.4;15400;921
1209;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",1659],[""input"",{""answer"":[""24""],""style"":""separate""}]]";;0.48;21800;907
1210;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",153],[""input"",{""answer"":[""26""],""style"":""separate""}]]";;0.47;26050;975
1211;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",1235],[""input"",{""answer"":[""20""],""style"":""separate""}]]";;0.45;18950;891
1212;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",77],[""input"",{""answer"":[""20""],""style"":""separate""}]]";;0.48;20200;920
1213;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",2708],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.21;6407;892
1214;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",2578],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.26;12550;926
1215;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",3465],[""input"",{""answer"":[""20""],""style"":""separate""}]]";;0.48;19895;906
1216;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",776],[""input"",{""answer"":[""24""],""style"":""separate""}]]";;0.52;24550;930
1217;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",3483],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.41;13800;921
1218;752;1;"[[""text"",""Jaký je obvod vyznačeného útvaru?""],[""img"",2570],[""input"",{""answer"":[""16""],""style"":""separate""}]]";;0.17;11750;924
1219;726;2;"[[""latex"",""(3+5)^2""],[""input"",{""answer"":[""64""],""style"":""separate""}]]";;0.23;6950;2151
1220;726;2;"[[""latex"",""\\sqrt{5+4}""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.13;4350;1897
1221;726;2;"[[""latex"",""2^2+3^2""],[""input"",{""answer"":[""13""],""style"":""separate""}]]";;0.17;9000;1847
1222;726;2;"[[""latex"",""2\\cdot 3^2""],[""input"",{""answer"":[""18""],""style"":""separate""}]]";;0.18;7050;1903
1223;726;2;"[[""latex"",""2\\cdot 5^2""],[""input"",{""answer"":[""50""],""style"":""separate""}]]";;0.19;6650;1839
1224;726;2;"[[""latex"",""(2+6)^2""],[""input"",{""answer"":[""64""],""style"":""separate""}]]";;0.17;7100;1890
1225;726;2;"[[""latex"",""(5-3)^3""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.23;7650;1888
1226;726;2;"[[""latex"",""10-2^2""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.09;5050;1909
1227;726;2;"[[""latex"",""(10-1)^2""],[""input"",{""answer"":[""81""],""style"":""separate""}]]";;0.19;6500;1880
1228;726;2;"[[""latex"",""(30:6)^2""],[""input"",{""answer"":[""25""],""style"":""separate""}]]";;0.12;7105;1857
1229;726;2;"[[""latex"",""\\sqrt{4}+\\sqrt{9}""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.15;6800;1902
1230;726;2;"[[""latex"",""(\\sqrt{7}+0)^2""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.43;9150;1882
1231;726;2;"[[""latex"",""\\sqrt{4\\cdot 6+1}""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.13;8600;1862
1232;726;2;"[[""latex"",""\\sqrt{0}+\\sqrt{1}""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.12;5100;1914
1233;726;2;"[[""latex"",""3^2-2^3""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.24;9700;1909
1234;726;2;"[[""latex"",""18:3^2""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.18;6300;1925
1235;726;2;"[[""latex"",""(18:3)^2""],[""input"",{""answer"":[""36""],""style"":""separate""}]]";;0.14;9350;1883
1236;726;2;"[[""latex"",""2^5-5^2""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.44;25000;1894
1237;726;2;"[[""latex"",""(2\\cdot 3)^2""],[""input"",{""answer"":[""36""],""style"":""separate""}]]";;0.14;7300;1904
1238;726;2;"[[""latex"",""(\\sqrt{10}:1)^2""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.49;13850;1837
1239;726;2;"[[""latex"",""\\sqrt{1+3+5+7}""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.16;9009;1935
1240;726;2;"[[""latex"",""\\sqrt{1+3+5+7+9+11}""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.19;16000;1925
1241;726;2;"[[""latex"",""\\sqrt{100}+\\sqrt{1}""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.22;7175;1874
1242;726;2;"[[""latex"",""\\sqrt{13}\\cdot \\sqrt{13}""],[""input"",{""answer"":[""13""],""style"":""separate""}]]";;0.42;12250;1935
1243;726;2;"[[""latex"",""\\sqrt{5+2}:\\sqrt{10-3}""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.34;16650;1829
1244;726;2;"[[""latex"",""(2:\\sqrt{2})^2""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.62;12425;1805
1245;726;2;"[[""latex"",""(\\sqrt{2}\\cdot 2)^2""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.74;12925;1865
1246;726;2;"[[""latex"",""\\sqrt{3^2+4^2}""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.42;14800;1878
1247;726;2;"[[""latex"",""(2-7)^2""],[""input"",{""answer"":[""25""],""style"":""separate""}]]";;0.29;8250;1931
1248;726;2;"[[""latex"",""(2-2^2)^2""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.38;11450;1903
1249;726;2;"[[""latex"",""(-3)^2-3""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.27;9450;1919
1250;726;2;"[[""latex"",""4^2+(-4)^2""],[""input"",{""answer"":[""32""],""style"":""separate""}]]";;0.44;14650;1875
1251;726;2;"[[""latex"",""2\\cdot 3+2^3""],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.25;12550;1893
1252;726;2;"[[""latex"",""2^1+2^2+2^3""],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.37;14350;1924
1253;726;2;"[[""latex"",""3^1+3^2+3^3""],[""input"",{""answer"":[""39""],""style"":""separate""}]]";;0.36;19500;1887
1254;726;2;"[[""latex"",""3\\cdot 3^3""],[""input"",{""answer"":[""81""],""style"":""separate""}]]";;0.45;16900;1939
1255;726;2;"[[""latex"",""2\\cdot 2^2""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.12;5550;1937
1256;726;2;"[[""latex"",""(\\sqrt{5}\\cdot 2)\\cdot (\\sqrt{5}:2)""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.65;31900;1799
1257;726;2;"[[""latex"",""(\\sqrt{5}\\cdot \\sqrt{3})^2""],[""input"",{""answer"":[""15""],""style"":""separate""}]]";;0.48;14650;1893
1258;726;2;"[[""latex"",""\\sqrt{10+6}:\\sqrt{10-6}""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.37;14350;1879
1259;721;2;"[[""latex"",""|5-7|""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.41;4650;3162
1260;721;2;"[[""latex"",""|2|+|-2|""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.36;5250;2735
1261;721;2;"[[""latex"",""|-3|\\cdot 5""],[""input"",{""answer"":[""15""],""style"":""separate""}]]";;0.32;5650;2685
1262;721;2;"[[""latex"",""-|-7|""],[""input"",{""answer"":[""-7""],""style"":""separate""}]]";;0.33;4950;2693
1263;721;2;"[[""latex"",""|5|-|-5|""],[""input"",{""answer"":[""0""],""style"":""separate""}]]";;0.34;7000;2734
1264;721;2;"[[""latex"",""1-|2-3|""],[""input"",{""answer"":[""0""],""style"":""separate""}]]";;0.39;8609;2778
1265;721;2;"[[""latex"",""1+|2+3|""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.12;6400;2740
1266;721;2;"[[""latex"",""|-5|\\cdot (-5)""],[""input"",{""answer"":[""-25""],""style"":""separate""}]]";;0.42;9400;2688
1267;721;2;"[[""latex"",""|-1|+|0|+|1|""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.39;7573;2739
1268;721;2;"[[""latex"",""5+|6|""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.12;4750;2743
1269;721;2;"[[""latex"",""7-|9|""],[""input"",{""answer"":[""-2""],""style"":""separate""}]]";;0.34;7850;2700
1270;721;2;"[[""latex"",""-8-|-7|""],[""input"",{""answer"":[""-15""],""style"":""separate""}]]";;0.49;12050;2745
1271;721;2;"[[""latex"",""|6-9|""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.38;5226;2772
1272;721;2;"[[""latex"",""|6|+|-9|""],[""input"",{""answer"":[""15""],""style"":""separate""}]]";;0.41;7950;2776
1273;721;2;"[[""latex"",""|-12:4|""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.37;7300;2714
1274;721;2;"[[""latex"",""-|-5-7|""],[""input"",{""answer"":[""-12""],""style"":""separate""}]]";;0.52;11900;2661
1275;721;2;"[[""latex"",""|-2-3|""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.46;5800;2711
1276;721;2;"[[""latex"",""-|14|""],[""input"",{""answer"":[""-14""],""style"":""separate""}]]";;0.32;5206;2725
1277;721;2;"[[""latex"",""-|-12|""],[""input"",{""answer"":[""-12""],""style"":""separate""}]]";;0.31;5450;2730
1278;721;2;"[[""latex"",""|5|-(-5)""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.38;7300;2675
1279;721;2;"[[""latex"",""-|4|+(-5)""],[""input"",{""answer"":[""-9""],""style"":""separate""}]]";;0.4;11500;2691
1280;721;2;"[[""latex"",""6-|-12|""],[""input"",{""answer"":[""-6""],""style"":""separate""}]]";;0.45;9100;2742
1281;721;2;"[[""latex"",""5-3\\cdot |4-2|""],[""input"",{""answer"":[""-1""],""style"":""separate""}]]";;0.61;14650;2688
1282;721;2;"[[""latex"",""8-|4|""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.17;5500;2736
1283;721;2;"[[""latex"",""10-|-1|""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.36;5950;2721
1284;721;2;"[[""latex"",""|15-12|""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.17;5350;2766
1285;721;2;"[[""latex"",""|13-16|""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.4;5872;2731
1286;721;2;"[[""latex"",""(-5)+5+|-5|+|5|""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.46;15800;2688
1287;767;2;"[[""latex"",""\\begin{array}{rcl}x & = & 1\\\\ \\end{array}""],[""latex"",""3x+5 = "",{""inline"":1}],[""input"",{""answer"":[""8""],""style"":""inline""}]]";;0.18;6300;2017
1288;767;2;"[[""latex"",""\\begin{array}{rcl}x & = & -2\\\\ \\end{array}""],[""latex"",""3x+5 = "",{""inline"":1}],[""input"",{""answer"":[""-1""],""style"":""inline""}]]";;0.34;11800;1905
1289;767;2;"[[""latex"",""\\begin{array}{rcl}x & = & 4\\\\ \\end{array}""],[""latex"",""3x+5 = "",{""inline"":1}],[""input"",{""answer"":[""17""],""style"":""inline""}]]";;0.18;8250;1882
1290;767;2;"[[""latex"",""\\begin{array}{rcl}k & = & 3\\\\ \\end{array}""],[""latex"",""4k+1-k = "",{""inline"":1}],[""input"",{""answer"":[""10""],""style"":""inline""}]]";;0.23;11300;1916
1291;767;2;"[[""latex"",""\\begin{array}{rcl}k & = & 0\\\\ \\end{array}""],[""latex"",""4k+1-k = "",{""inline"":1}],[""input"",{""answer"":[""1""],""style"":""inline""}]]";;0.28;8450;1905
1292;767;3;"[[""latex"",""\\begin{array}{rcl}k & = & -1\\\\ \\end{array}""],[""latex"",""4k+1-k = "",{""inline"":1}],[""input"",{""answer"":[""-2""],""style"":""inline""}]]";;0.61;20000;1060
1293;767;2;"[[""latex"",""\\begin{array}{rcl}a & = & 4\\\\ \\end{array}""],[""latex"",""36:a+a = "",{""inline"":1}],[""input"",{""answer"":[""13""],""style"":""inline""}]]";;0.24;12250;1936
1294;767;2;"[[""latex"",""\\begin{array}{rcl}a & = & 18\\\\ \\end{array}""],[""latex"",""36:a+a = "",{""inline"":1}],[""input"",{""answer"":[""20""],""style"":""inline""}]]";;0.25;10800;1908
1295;767;2;"[[""latex"",""\\begin{array}{rcl}a & = & 3\\\\b & = & 0\\\\ \\end{array}""],[""latex"",""2a-4b = "",{""inline"":1}],[""input"",{""answer"":[""6""],""style"":""inline""}]]";;0.31;11000;1884
1296;767;2;"[[""latex"",""\\begin{array}{rcl}a & = & 2\\\\b & = & 3\\\\ \\end{array}""],[""latex"",""2a-4b = "",{""inline"":1}],[""input"",{""answer"":[""-8""],""style"":""inline""}]]";;0.33;18183;1265
1297;767;3;"[[""latex"",""\\begin{array}{rcl}a & = & 4\\\\b & = & -3\\\\ \\end{array}""],[""latex"",""2a-4b = "",{""inline"":1}],[""input"",{""answer"":[""20""],""style"":""inline""}]]";;0.4;19870;907
1298;767;3;"[[""latex"",""\\begin{array}{rcl}a & = & 10\\\\b & = & -2\\\\ \\end{array}""],[""latex"",""a:5+2b = "",{""inline"":1}],[""input"",{""answer"":[""-2""],""style"":""inline""}]]";;0.43;19600;1518
1299;767;2;"[[""latex"",""\\begin{array}{rcl}a & = & 20\\\\b & = & 10\\\\ \\end{array}""],[""latex"",""a:5+2b = "",{""inline"":1}],[""input"",{""answer"":[""24""],""style"":""inline""}]]";;0.23;13400;1884
1300;767;2;"[[""latex"",""\\begin{array}{rcl}a & = & 0\\\\b & = & 1\\\\ \\end{array}""],[""latex"",""a:5+2b = "",{""inline"":1}],[""input"",{""answer"":[""2""],""style"":""inline""}]]";;0.23;12000;1869
1301;767;2;"[[""latex"",""\\begin{array}{rcl}x & = & 5\\\\y & = & 3\\\\ \\end{array}""],[""latex"",""x-y = "",{""inline"":1}],[""input"",{""answer"":[""2""],""style"":""inline""}]]";;0.09;6100;1896
1302;767;3;"[[""latex"",""\\begin{array}{rcl}x & = & -2\\\\y & = & -3\\\\ \\end{array}""],[""latex"",""x-y = "",{""inline"":1}],[""input"",{""answer"":[""1""],""style"":""inline""}]]";;0.36;12050;897
1303;767;3;"[[""latex"",""\\begin{array}{rcl}x & = & 4\\\\y & = & -3\\\\ \\end{array}""],[""latex"",""x-y = "",{""inline"":1}],[""input"",{""answer"":[""7""],""style"":""inline""}]]";;0.37;9200;1500
1304;767;3;"[[""latex"",""\\begin{array}{rcl}x & = & 4\\\\y & = & 2\\\\ \\end{array}""],[""latex"",""xy+x:y = "",{""inline"":1}],[""input"",{""answer"":[""10""],""style"":""inline""}]]";;0.25;16325;883
1305;767;3;"[[""latex"",""\\begin{array}{rcl}x & = & -6\\\\y & = & 3\\\\ \\end{array}""],[""latex"",""xy+x:y = "",{""inline"":1}],[""input"",{""answer"":[""-20""],""style"":""inline""}]]";;0.45;31829;871
1306;767;2;"[[""latex"",""\\begin{array}{rcl}x & = & 1\\\\y & = & 2\\\\z & = & 3\\\\ \\end{array}""],[""latex"",""x+2y-z = "",{""inline"":1}],[""input"",{""answer"":[""2""],""style"":""inline""}]]";;0.21;13200;1888
1307;767;3;"[[""latex"",""\\begin{array}{rcl}x & = & 1\\\\y & = & 0\\\\z & = & -1\\\\ \\end{array}""],[""latex"",""x+2y-z = "",{""inline"":1}],[""input"",{""answer"":[""2""],""style"":""inline""}]]";;0.54;18925;902
1308;767;2;"[[""latex"",""\\begin{array}{rcl}a & = & 5\\\\b & = & 4\\\\c & = & 3\\\\ \\end{array}""],[""latex"",""ba-2c = "",{""inline"":1}],[""input"",{""answer"":[""14""],""style"":""inline""}]]";;0.26;14800;1896
1309;767;3;"[[""latex"",""\\begin{array}{rcl}a & = & 1\\\\b & = & -1\\\\c & = & 2\\\\ \\end{array}""],[""latex"",""ba-2c = "",{""inline"":1}],[""input"",{""answer"":[""-5""],""style"":""inline""}]]";;0.44;22650;909
1360;719;1;"[[""img"",3715],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.1;5300;1361
1361;719;1;"[[""img"",3711],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.06;3650;1275
1362;719;1;"[[""img"",3732],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.07;4726;1266
1363;719;1;"[[""img"",3720],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.07;4550;1284
1364;719;1;"[[""img"",1213],[""input"",{""answer"":[""40""],""style"":""separate""}]]";;0.17;7050;1290
1365;719;1;"[[""img"",2945],[""input"",{""answer"":[""80""],""style"":""separate""}]]";;0.16;8450;1288
1366;719;1;"[[""img"",3709],[""input"",{""answer"":[""18""],""style"":""separate""}]]";;0.13;5250;1251
1367;719;1;"[[""img"",3717],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.1;5750;1280
1368;719;1;"[[""img"",3177],[""input"",{""answer"":[""40""],""style"":""separate""}]]";;0.21;9243;1284
1369;719;1;"[[""img"",697],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.06;3650;1278
1370;719;1;"[[""img"",947],[""input"",{""answer"":[""15""],""style"":""separate""}]]";;0.19;8700;1284
